sales_id,date,customer_id,customer_name,product_id,product_name,qty,unit_price,discount,total,channel_id,channel_name,payment_method,promo_id,promo_name,note
SALES-1000,01/07/2025,CUST-4,Dewi Lestari,PROD-3,Croissant Cokelat,4,25000,0,100000,CHAN-4,Tokopedia,Transfer,,,
SALES-1001,01/07/2025,CUST-1,Budi Santoso,PROD-1,Kopi Susu Gula Aren,1,20000,3000,17000,CHAN-2,GoFood,GoPay,PROM-1,Promo Merdeka,
SALES-1002,01/07/2025,CUST-5,Rina Amelia,PROD-6,Donat Kentang,2,12000,0,24000,CHAN-2,GoFood,GoPay,,,
SALES-1003,01/07/2025,CUST-6,Joko Subroto,PROD-5,Latte Caramel,2,22000,0,44000,CHAN-1,Dine In,Transfer,,,
SALES-1004,01/07/2025,CUST-6,Joko Subroto,PROD-4,Nasi Ayam Geprek,1,30000,0,30000,CHAN-3,GrabFood,OVO,,,
SALES-1005,02/07/2025,CUST-2,Siti Rahayu,PROD-1,Kopi Susu Gula Aren,3,20000,0,60000,CHAN-4,Tokopedia,Transfer,,,
SALES-1006,02/07/2025,CUST-5,Rina Amelia,PROD-5,Latte Caramel,2,22000,0,44000,CHAN-1,Dine In,Tunai,,,
SALES-1007,02/07/2025,CUST-7,Tika Ramadhani,PROD-4,Nasi Ayam Geprek,2,30000,0,60000,CHAN-2,GoFood,GoPay,,,
SALES-1008,02/07/2025,CUST-6,Joko Subroto,PROD-5,Latte Caramel,1,22000,0,22000,CHAN-3,GrabFood,OVO,,,
SALES-1009,02/07/2025,CUST-7,Tika Ramadhani,PROD-4,Nasi Ayam Geprek,2,30000,0,60000,CHAN-3,GrabFood,OVO,,,
SALES-1010,03/07/2025,CUST-3,Asep Suteja,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-2,GoFood,GoPay,,,
SALES-1011,03/07/2025,CUST-1,Budi Santoso,PROD-4,Nasi Ayam Geprek,1,30000,0,30000,CHAN-2,GoFood,GoPay,PROM-4,Beli 2 Gratis 1 Donat,
SALES-1012,03/07/2025,CUST-5,Rina Amelia,PROD-4,Nasi Ayam Geprek,1,30000,0,30000,CHAN-2,GoFood,GoPay,,,
SALES-1013,03/07/2025,CUST-3,Asep Suteja,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-2,GoFood,GoPay,,,
SALES-1014,04/07/2025,CUST-1,Budi Santoso,PROD-1,Kopi Susu Gula Aren,4,20000,0,80000,CHAN-1,Dine In,Transfer,,,
SALES-1015,04/07/2025,CUST-4,Dewi Lestari,PROD-1,Kopi Susu Gula Aren,2,20000,0,40000,CHAN-1,Dine In,Transfer,,,
SALES-1016,04/07/2025,CUST-6,Joko Subroto,PROD-2,Kopi Hitam,1,15000,0,15000,CHAN-4,Tokopedia,Transfer,PROM-4,Beli 2 Gratis 1 Donat,
SALES-1017,04/07/2025,CUST-2,Siti Rahayu,PROD-1,Kopi Susu Gula Aren,1,20000,0,20000,CHAN-1,Dine In,Tunai,,,
SALES-1018,04/07/2025,CUST-1,Budi Santoso,PROD-1,Kopi Susu Gula Aren,4,20000,0,80000,CHAN-2,GoFood,GoPay,,,
SALES-1019,05/07/2025,CUST-2,Siti Rahayu,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-1,Dine In,Tunai,,,
SALES-1020,05/07/2025,CUST-4,Dewi Lestari,PROD-2,Kopi Hitam,2,15000,0,30000,CHAN-3,GrabFood,OVO,,,
SALES-1021,05/07/2025,CUST-2,Siti Rahayu,PROD-6,Donat Kentang,3,12000,0,36000,CHAN-1,Dine In,Transfer,,,
SALES-1022,05/07/2025,CUST-6,Joko Subroto,PROD-3,Croissant Cokelat,3,25000,0,75000,CHAN-2,GoFood,GoPay,,,
SALES-1023,05/07/2025,CUST-1,Budi Santoso,PROD-2,Kopi Hitam,2,15000,0,30000,CHAN-4,Tokopedia,Transfer,,,
SALES-1024,05/07/2025,CUST-3,Asep Suteja,PROD-6,Donat Kentang,1,12000,0,12000,CHAN-4,Tokopedia,Transfer,,,
SALES-1025,06/07/2025,CUST-5,Rina Amelia,PROD-6,Donat Kentang,1,12000,0,12000,CHAN-2,GoFood,GoPay,,,
SALES-1026,06/07/2025,CUST-5,Rina Amelia,PROD-1,Kopi Susu Gula Aren,2,20000,0,40000,CHAN-3,GrabFood,OVO,,,
SALES-1027,06/07/2025,CUST-6,Joko Subroto,PROD-4,Nasi Ayam Geprek,3,30000,0,90000,CHAN-4,Tokopedia,Transfer,,,
SALES-1028,06/07/2025,CUST-2,Siti Rahayu,PROD-4,Nasi Ayam Geprek,4,30000,0,120000,CHAN-1,Dine In,Transfer,,,
SALES-1029,07/07/2025,CUST-1,Budi Santoso,PROD-1,Kopi Susu Gula Aren,1,20000,0,20000,CHAN-2,GoFood,GoPay,PROM-4,Beli 2 Gratis 1 Donat,
SALES-1030,07/07/2025,CUST-2,Siti Rahayu,PROD-5,Latte Caramel,1,22000,0,22000,CHAN-4,Tokopedia,Transfer,PROM-6,Diskon Gede,
SALES-1031,08/07/2025,CUST-5,Rina Amelia,PROD-5,Latte Caramel,1,22000,0,22000,CHAN-1,Dine In,Tunai,,,
SALES-1032,08/07/2025,CUST-1,Budi Santoso,PROD-6,Donat Kentang,3,12000,0,36000,CHAN-2,GoFood,GoPay,,,
SALES-1033,08/07/2025,CUST-4,Dewi Lestari,PROD-5,Latte Caramel,4,22000,0,88000,CHAN-1,Dine In,Transfer,,,
SALES-1034,08/07/2025,CUST-6,Joko Subroto,PROD-4,Nasi Ayam Geprek,3,30000,0,90000,CHAN-1,Dine In,Transfer,,,
SALES-1035,08/07/2025,CUST-7,Tika Ramadhani,PROD-6,Donat Kentang,3,12000,0,36000,CHAN-2,GoFood,GoPay,,,
SALES-1036,08/07/2025,CUST-7,Tika Ramadhani,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-3,GrabFood,OVO,,,
SALES-1037,09/07/2025,CUST-5,Rina Amelia,PROD-3,Croissant Cokelat,2,25000,7500,42500,CHAN-2,GoFood,GoPay,PROM-1,Promo Merdeka,
SALES-1038,09/07/2025,CUST-5,Rina Amelia,PROD-6,Donat Kentang,4,12000,0,48000,CHAN-1,Dine In,Tunai,,,
SALES-1039,09/07/2025,CUST-3,Asep Suteja,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-2,GoFood,GoPay,,,
SALES-1040,09/07/2025,CUST-7,Tika Ramadhani,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-2,GoFood,GoPay,,,
SALES-1041,10/07/2025,CUST-3,Asep Suteja,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-1,Dine In,Transfer,,,
SALES-1042,10/07/2025,CUST-6,Joko Subroto,PROD-4,Nasi Ayam Geprek,2,30000,0,60000,CHAN-4,Tokopedia,Transfer,PROM-6,Diskon Gede,
SALES-1043,10/07/2025,CUST-3,Asep Suteja,PROD-5,Latte Caramel,2,22000,0,44000,CHAN-1,Dine In,Transfer,,,
SALES-1044,10/07/2025,CUST-7,Tika Ramadhani,PROD-5,Latte Caramel,4,22000,0,88000,CHAN-1,Dine In,Tunai,,,
SALES-1045,10/07/2025,CUST-7,Tika Ramadhani,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-4,Tokopedia,Transfer,,,
SALES-1046,11/07/2025,CUST-5,Rina Amelia,PROD-3,Croissant Cokelat,3,25000,0,75000,CHAN-1,Dine In,Tunai,,,
SALES-1047,11/07/2025,CUST-4,Dewi Lestari,PROD-2,Kopi Hitam,3,15000,0,45000,CHAN-3,GrabFood,OVO,,,
SALES-1048,11/07/2025,CUST-7,Tika Ramadhani,PROD-5,Latte Caramel,1,22000,0,22000,CHAN-1,Dine In,Transfer,PROM-4,Beli 2 Gratis 1 Donat,
SALES-1049,11/07/2025,CUST-4,Dewi Lestari,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-3,GrabFood,OVO,,,
SALES-1050,11/07/2025,CUST-1,Budi Santoso,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-2,GoFood,GoPay,,,
SALES-1051,11/07/2025,CUST-5,Rina Amelia,PROD-1,Kopi Susu Gula Aren,2,20000,0,40000,CHAN-2,GoFood,GoPay,,,
SALES-1052,12/07/2025,CUST-7,Tika Ramadhani,PROD-3,Croissant Cokelat,3,25000,0,75000,CHAN-3,GrabFood,OVO,,,
SALES-1053,12/07/2025,CUST-2,Siti Rahayu,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-3,GrabFood,OVO,,,
SALES-1054,12/07/2025,CUST-3,Asep Suteja,PROD-2,Kopi Hitam,4,15000,0,60000,CHAN-4,Tokopedia,Transfer,PROM-6,Diskon Gede,
SALES-1055,13/07/2025,CUST-5,Rina Amelia,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-3,GrabFood,OVO,,,
SALES-1056,13/07/2025,CUST-3,Asep Suteja,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-3,GrabFood,OVO,,,
SALES-1057,13/07/2025,CUST-3,Asep Suteja,PROD-2,Kopi Hitam,1,15000,0,15000,CHAN-1,Dine In,Tunai,,,
SALES-1058,13/07/2025,CUST-3,Asep Suteja,PROD-1,Kopi Susu Gula Aren,1,20000,0,20000,CHAN-2,GoFood,GoPay,,,
SALES-1059,13/07/2025,CUST-1,Budi Santoso,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-3,GrabFood,OVO,,,
SALES-1060,13/07/2025,CUST-4,Dewi Lestari,PROD-1,Kopi Susu Gula Aren,2,20000,0,40000,CHAN-4,Tokopedia,Transfer,,,
SALES-1061,14/07/2025,CUST-2,Siti Rahayu,PROD-3,Croissant Cokelat,2,25000,0,50000,CHAN-2,GoFood,GoPay,,,
SALES-1062,14/07/2025,CUST-2,Siti Rahayu,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-2,GoFood,GoPay,,,
SALES-1063,14/07/2025,CUST-2,Siti Rahayu,PROD-4,Nasi Ayam Geprek,3,30000,0,90000,CHAN-4,Tokopedia,Transfer,,,
SALES-1064,14/07/2025,CUST-4,Dewi Lestari,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-2,GoFood,GoPay,,,
SALES-1065,14/07/2025,CUST-2,Siti Rahayu,PROD-1,Kopi Susu Gula Aren,1,20000,0,20000,CHAN-1,Dine In,Transfer,,,
SALES-1066,14/07/2025,CUST-3,Asep Suteja,PROD-2,Kopi Hitam,2,15000,0,30000,CHAN-2,GoFood,GoPay,PROM-6,Diskon Gede,
SALES-1067,15/07/2025,CUST-4,Dewi Lestari,PROD-2,Kopi Hitam,2,15000,0,30000,CHAN-2,GoFood,GoPay,,,
SALES-1068,15/07/2025,CUST-2,Siti Rahayu,PROD-2,Kopi Hitam,2,15000,0,30000,CHAN-3,GrabFood,OVO,,,
SALES-1069,15/07/2025,CUST-2,Siti Rahayu,PROD-3,Croissant Cokelat,1,25000,0,25000,CHAN-3,GrabFood,OVO,,,
SALES-1070,16/07/2025,CUST-5,Rina Amelia,PROD-5,Latte Caramel,3,22000,0,66000,CHAN-4,Tokopedia,Transfer,PROM-6,Diskon Gede,
SALES-1071,16/07/2025,CUST-1,Budi Santoso,PROD-6,Donat Kentang,2,12000,0,24000,CHAN-3,GrabFood,OVO,,,
SALES-1072,16/07/2025,CUST-6,Joko Subroto,PROD-5,Latte Caramel,2,22000,0,44000,CHAN-2,GoFood,GoPay,,,
SALES-1073,16/07/2025,CUST-1,Budi Santoso,PROD-4,Nasi Ayam Geprek,4,30000,0,120000,CHAN-4,Tokopedia,Transfer,,,
